employee_id,name,branch_id,role,hiring_date,salary
276,John Verma,128,Relationship Manager,28-12-2010,78625
277,Thomas Garcia,9,Loan Officer,03-03-2001,142438
278,Deepak Desai,86,Relationship Manager,15-01-2008,57677
279,Kavya Pillai,40,Teller,04-10-2011,41058
280,Robert Menon,33,Teller,05-01-2012,77388
281,Ritu Pillai,7,Customer Service,15-09-2020,120642
282,Ritu Desai,136,Customer Service,04-08-2024,62196
283,Divya Patel,65,Relationship Manager,18-07-2018,49716
284,Deepak Garcia,52,Teller,08-01-2002,141870
285,Elizabeth Mehta,112,Customer Service,21-05-2010,102967
286,Meera Miller,6,Loan Officer,20-07-2018,93581
287,Susan Iyer,85,Teller,11-02-2015,64432
288,Divya Kapoor,75,Teller,20-08-2011,30689
289,Amit Pillai,84,Compliance Officer,01-02-2011,36080
290,Sanjay Rodriguez,19,Teller,26-04-2010,131587
291,Vikram Davis,143,Relationship Manager,19-09-2014,40162
292,Neha Chopra,36,Customer Service,17-07-2004,65533
293,Vikram Smith,102,Customer Service,25-02-2013,166455
294,Sanjay Reddy,113,Customer Service,26-03-2005,80284
295,Pooja Chopra,52,Relationship Manager,22-04-2017,141186
296,Jennifer Reddy,20,Teller,23-12-2021,80185
297,Manoj Verma,45,Teller,06-11-2009,169637
298,Rohan Bose,122,Customer Service,27-11-2023,152923
299,Susan Verma,136,Loan Officer,06-10-2016,99438
300,Rohan Kumar,141,Teller,17-11-2010,132030
301,Ajay Patel,34,Teller,27-05-2000,90820
302,Suresh Smith,91,Teller,18-08-2005,171549
303,Ritu Nair,23,Teller,03-01-2006,82477
304,Charles Johnson,107,Teller,02-05-2018,155141
305,Divya Joshi,63,Relationship Manager,21-09-2012,121678
306,Jessica Mehta,108,Teller,31-05-2025,125840
307,Kavya Verma,103,Compliance Officer,27-09-2013,81437
308,Neha Iyer,149,Compliance Officer,14-12-2022,154596
309,David Mehta,74,Teller,14-01-2014,141433
310,David Davis,52,Customer Service,06-02-2009,151924
311,John Rodriguez,80,Customer Service,28-02-2018,149800
312,Jennifer Gupta,25,Customer Service,04-06-2011,51956
313,Sarah Davis,17,Teller,24-12-2006,161128
314,Karen Chopra,78,Teller,10-01-2012,155960
315,Michael Brown,124,Teller,24-11-2016,64905
316,Sarah Bose,80,Customer Service,18-07-2009,177211
317,Sneha Sharma,118,Compliance Officer,22-11-2017,108107
318,Elizabeth Reddy,27,Customer Service,03-12-2024,76930
319,Susan Jones,68,Customer Service,14-06-2010,61963
320,Jessica Verma,92,Compliance Officer,03-07-2007,83436
321,Anita Chopra,53,Customer Service,22-03-2010,33708
322,Jessica Rodriguez,3,Teller,21-04-2021,132987
323,Pooja Brown,12,Relationship Manager,18-07-2004,135589
324,Susan Nair,140,Loan Officer,29-09-2024,129502
325,Sarah Jones,91,Teller,10-07-2010,111445
326,Jessica Martinez,40,Branch Manager,22-05-2021,83137
327,Linda Patel,39,Relationship Manager,31-12-2019,138036
328,Kavya Reddy,6,Teller,30-11-2019,160450
329,Elizabeth Kapoor,142,Loan Officer,06-02-2023,41318
330,Richard Singh,17,Teller,11-09-2004,86197
331,Divya Chatterjee,114,Teller,01-02-2015,179319
332,Kiran Johnson,37,Teller,08-07-2002,159019
333,Arjun Sharma,51,Customer Service,11-08-2007,179140
334,Deepak Smith,42,Relationship Manager,11-01-2001,55860
335,Suresh Smith,124,Teller,04-05-2017,98679
336,Karen Miller,5,Teller,12-06-2015,47813
337,Sanjay Rao,53,Teller,23-10-2018,159640
338,Susan Desai,42,Teller,23-06-2004,106860
339,Charles Malhotra,41,Customer Service,10-06-2008,65022
340,Rohan Kapoor,29,Customer Service,10-03-2017,41729
341,Ajay Malhotra,137,Customer Service,05-07-2022,140110
342,Ritu Garcia,57,Loan Officer,15-11-2001,151400
343,Anita Chatterjee,63,Customer Service,25-03-2010,161642
344,Neha Desai,58,Teller,20-10-2020,175649
345,William Williams,148,Teller,15-02-2003,151829
346,Divya Iyer,51,Relationship Manager,19-12-2003,147520
347,Priya Bose,52,Customer Service,22-05-2000,151389
348,Rohan Iyer,50,Relationship Manager,04-05-2022,179802
349,Sanjay Chatterjee,50,Relationship Manager,25-02-2011,98380
350,Vikram Pillai,14,Customer Service,20-10-2010,143303
351,John Iyer,91,Relationship Manager,08-06-2016,152638
352,Barbara Johnson,4,Loan Officer,27-12-2006,45674
353,Linda Sharma,34,Teller,22-07-2017,132987
354,Pooja Miller,31,Teller,27-11-2010,79502
355,Mary Iyer,44,Teller,06-12-2006,48132
356,William Rao,114,Teller,13-01-2010,53895
357,Sneha Patel,90,Loan Officer,27-02-2000,45356
358,Kavya Garcia,149,Customer Service,30-08-2007,164457
359,Anita Martinez,53,Customer Service,12-01-2015,145332
360,Suresh Singh,140,Customer Service,04-07-2003,43526
361,Deepak Smith,7,Teller,05-01-2003,123070
362,Jennifer Miller,76,Customer Service,01-09-2016,128385
363,Ajay Desai,120,Loan Officer,19-11-2010,106945
364,Vikram Williams,80,Teller,22-06-2003,120128
365,Neha Gupta,140,Teller,03-01-2019,165903
366,Patricia Miller,48,Teller,16-09-2019,106865
367,Vikram Brown,5,Teller,18-11-2000,128257
368,Rahul Gupta,117,Relationship Manager,15-02-2005,114806
369,Amit Nair,11,Customer Service,30-05-2009,88214
370,Patricia Garcia,115,Customer Service,03-08-2018,163409
371,Rohan Williams,111,Teller,18-11-2001,90917
372,Kiran Jones,127,Relationship Manager,22-06-2020,149592
373,Rahul Kapoor,72,Customer Service,13-02-2008,119997
374,Jennifer Chatterjee,135,Teller,09-03-2003,132113
375,Ajay Garcia,26,Customer Service,10-12-2021,143561
376,Ajay Martinez,66,Loan Officer,16-03-2002,139862
377,Michael Sharma,19,Loan Officer,17-04-2003,113781
378,Divya Sharma,116,Teller,18-02-2024,121553
379,Thomas Davis,108,Branch Manager,16-03-2013,105331
380,Sneha Johnson,121,Teller,08-10-2011,79548
381,Charles Nair,115,Teller,20-06-2017,138488
382,Divya Sharma,47,Teller,07-01-2016,161589
383,Meera Sharma,11,Compliance Officer,05-08-2015,135200
384,Divya Davis,140,Teller,03-08-2000,145369
385,Kiran Joshi,74,Loan Officer,08-01-2014,154212
386,Kiran Mehta,15,Teller,31-01-2007,83838
387,Patricia Gupta,140,Relationship Manager,11-07-2020,37507
388,David Miller,150,Customer Service,04-11-2012,79310
389,Rahul Bose,67,Relationship Manager,22-02-2003,142752
390,Sneha Desai,116,Teller,10-07-2022,151989
391,John Smith,6,Teller,24-03-2007,106091
392,Patricia Joshi,14,Customer Service,24-11-2006,146345
393,Rohan Singh,42,Teller,18-10-2023,39353
394,Vikram Williams,99,Relationship Manager,14-09-2019,125907
395,Michael Chopra,21,Relationship Manager,04-11-2021,131209
396,Linda Brown,6,Loan Officer,30-10-2016,105191
397,Jennifer Johnson,101,Compliance Officer,21-02-2023,136914
398,Amit Brown,116,Customer Service,06-12-2002,102703
399,James Patel,111,Teller,01-04-2015,107591
400,Amit Mehta,120,Loan Officer,16-06-2007,119802
401,Karen Gupta,121,Teller,15-02-2010,148657
402,Karen Brown,91,Relationship Manager,17-01-2006,65803
403,Arjun Garcia,78,Teller,18-03-2005,73637
404,Rohan Chatterjee,129,Teller,31-03-2011,91664
405,Rahul Pillai,53,Customer Service,04-05-2023,58689
406,Sanjay Chopra,15,Teller,23-02-2016,78801
407,Deepak Brown,113,Teller,17-11-2008,81311
408,Divya Bose,42,Customer Service,06-01-2011,75764
409,Rohan Singh,147,Teller,19-06-2013,90327
410,Anita Nair,63,Loan Officer,20-03-2006,104726
411,Elizabeth Jones,128,Teller,31-03-2013,133781
412,Sneha Menon,7,Teller,07-03-2006,74046
413,Jennifer Patel,99,Teller,08-11-2014,156519
414,Kiran Johnson,68,Customer Service,01-01-2018,100872
415,Ritu Miller,70,Compliance Officer,13-03-2013,137579
416,Robert Gupta,40,Teller,03-06-2007,45450
417,Divya Johnson,146,Compliance Officer,02-02-2014,54446
418,Robert Martinez,59,Customer Service,28-02-2020,96941
419,Rahul Iyer,128,Customer Service,21-08-2005,83664
420,Patricia Pillai,64,Customer Service,09-08-2014,103410
421,Anita Williams,8,Customer Service,17-04-2017,52078
422,Neha Rao,132,Relationship Manager,03-03-2008,99988
423,Rahul Joshi,28,Loan Officer,06-11-2009,132382
424,Sarah Bose,41,Branch Manager,04-08-2022,138725
425,Deepak Joshi,130,Teller,28-03-2009,65722
426,Sanjay Garcia,135,Teller,16-03-2015,80353
427,William Bose,138,Customer Service,21-10-2003,107858
428,Arjun Menon,64,Teller,14-07-2023,106732
429,Rahul Martinez,114,Teller,03-03-2015,148358
430,Susan Iyer,50,Teller,29-04-2019,87324
431,Pooja Nair,112,Teller,26-04-2015,129982
432,Anjali Iyer,76,Customer Service,13-01-2009,162330
433,Manoj Rodriguez,8,Customer Service,25-08-2008,73352
434,Sanjay Menon,63,Loan Officer,27-10-2017,153091
435,Neha Pillai,71,Teller,07-11-2021,78595
436,Barbara Verma,39,Loan Officer,30-03-2003,78827
437,Divya Bose,57,Loan Officer,27-06-2021,127311
438,Joseph Verma,76,Customer Service,03-02-2021,122511
439,Rohan Malhotra,8,Customer Service,09-10-2002,111519
440,Richard Rao,23,Loan Officer,01-10-2002,63146
441,Richard Iyer,116,Loan Officer,31-08-2017,42651
442,Michael Brown,53,Compliance Officer,02-06-2021,166159
443,Ajay Kapoor,92,Customer Service,03-01-2010,160846
444,Michael Martinez,85,Loan Officer,13-04-2016,162773
445,Patricia Miller,83,Loan Officer,29-05-2025,105917
446,Kiran Garcia,63,Teller,15-03-2008,162449
447,Priya Menon,73,Relationship Manager,19-09-2005,99950
448,Sarah Brown,124,Teller,15-03-2025,39476
449,Pooja Malhotra,145,Teller,17-02-2007,58162
450,Jessica Chatterjee,39,Compliance Officer,05-01-2012,69435
451,Jennifer Smith,101,Customer Service,28-03-2011,85303
452,Rahul Rao,146,Teller,19-04-2013,170736
453,Linda Rao,2,Teller,30-10-2006,78589
454,Priya Sharma,118,Teller,04-04-2017,121117
455,Kiran Singh,75,Customer Service,02-08-2017,69151
456,Kiran Gupta,146,Teller,04-02-2005,125777
457,Joseph Patel,87,Relationship Manager,22-03-2012,114245
458,Sanjay Gupta,126,Relationship Manager,16-06-2001,50865
459,Vikram Bose,25,Branch Manager,12-08-2005,98265
460,Karen Mehta,22,Customer Service,02-02-2025,44020
461,Jennifer Verma,139,Teller,13-11-2012,163158
462,Jessica Joshi,79,Teller,29-10-2015,135027
463,Neha Bose,84,Customer Service,03-08-2022,171084
464,Meera Joshi,26,Teller,20-02-2018,161094
465,James Kumar,35,Teller,20-02-2020,61359
466,Rahul Verma,123,Teller,04-02-2018,135498
467,Ritu Malhotra,46,Teller,04-09-2012,43216
468,Kiran Martinez,88,Loan Officer,29-01-2016,174011
469,Sarah Rodriguez,48,Customer Service,02-05-2007,147371
470,Robert Patel,40,Relationship Manager,18-08-2022,131433
471,Barbara Menon,25,Customer Service,27-07-2004,179218
472,Ritu Rao,140,Relationship Manager,21-06-2022,156730
473,Suresh Verma,142,Loan Officer,29-04-2022,159267
474,Neha Patel,18,Relationship Manager,13-08-2003,43219
475,Jennifer Rodriguez,53,Branch Manager,18-01-2018,31602
476,Robert Kapoor,85,Teller,25-02-2025,174088
477,Karen Sharma,58,Relationship Manager,17-07-2014,66192
478,Sneha Reddy,109,Teller,25-08-2008,92812
479,Mary Verma,40,Teller,10-01-2013,34588
480,Kavya Martinez,9,Teller,03-02-2003,122705
481,Priya Menon,51,Loan Officer,06-05-2017,152758
482,James Sharma,90,Loan Officer,29-07-2011,155945
483,Patricia Williams,28,Branch Manager,04-07-2005,116373
484,Charles Verma,123,Relationship Manager,22-04-2020,128521
485,Rahul Nair,2,Teller,24-01-2003,106085
486,Manoj Williams,11,Branch Manager,26-07-2005,95814
487,Sarah Martinez,77,Teller,01-11-2011,112276
488,Richard Jones,77,Relationship Manager,01-01-2001,170255
489,Ajay Nair,45,Teller,05-11-2009,66372
490,Charles Kumar,39,Teller,16-02-2023,99469
491,Richard Menon,11,Branch Manager,02-12-2023,119449
492,Charles Verma,100,Customer Service,28-02-2022,114662
493,James Chatterjee,57,Customer Service,26-03-2008,32661
494,Richard Miller,18,Customer Service,25-08-2001,71674
495,Rohan Malhotra,60,Customer Service,16-09-2020,126193
496,Deepak Reddy,141,Loan Officer,27-06-2009,133502
497,Pooja Chopra,40,Teller,12-01-2019,139633
